net,length_um
_1215_,19.88
_1898_,19.86
_1667_,19.84
fifo3.mem\[7\]\[8\],19.76
_0828_,19.72
_1513_,19.72
fifo1.mem\[8\]\[8\],19.7
net231,19.66
_1362_,19.64
_1722_,19.52
_1844_,19.44
_1056_,19.4
fifo1.mem\[9\]\[3\],19.4
fifo3.count\[4\],19.38
_0668_,19.36
_1291_,19.25
_2015_,19.22
_0105_,19.185
_1907_,19.18
fifo1.mem\[10\]\[7\],19.12
_0670_,19.06
_1461_,19.06
net25,19.06
_0750_,19.04
fifo2.mem\[6\]\[6\],19.04
fifo1.mem\[9\]\[6\],19.02
_0630_,19
fifo1.count\[4\],19
fifo1.mem\[9\]\[2\],18.98
_1509_,18.88
_2036_,18.74
fifo3.mem\[0\]\[7\],18.74
fifo3.mem\[7\]\[3\],18.7
net317,18.7
_2047_,18.66
_1875_,18.62
_1939_,18.6
_0879_,18.58
regis.internal_parity\[3\],18.5
syn.count2\[5\],18.48
_0454_,18.465
fifo3.mem\[12\]\[3\],18.38
fifo3.mem\[2\]\[4\],18.36
_1180_,18.34
_1314_,18.26
fifo2.mem\[5\]\[4\],18.22
_1506_,18.2
_0703_,18.19
_1612_,18.16
_1895_,18.16
_1991_,18.16
fifo2.mem\[7\]\[4\],18.12
_1973_,18.1
_1970_,18.08
_0026_,18.075
fifo2.mem\[11\]\[2\],18.06
fifo2.mem\[9\]\[7\],18.06
_0405_,17.985
_1514_,17.9
fifo1.mem\[10\]\[5\],17.9
_1140_,17.88
fifo3.mem\[11\]\[2\],17.84
_0756_,17.82
_1561_,17.8
fifo2.mem\[9\]\[5\],17.78
fifo1.mem\[7\]\[6\],17.76
fifo3.mem\[6\]\[0\],17.745
_0392_,17.685
_0971_,17.67
_1159_,17.64
fifo2.mem\[9\]\[6\],17.64
_0627_,17.62
_1710_,17.62
_0969_,17.6
fifo3.mem\[14\]\[5\],17.58
fifo1.mem\[11\]\[0\],17.56
_0863_,17.54
fifo1.data_in\[0\],17.54
fifo1.mem\[13\]\[7\],17.52
fifo2.mem\[3\]\[5\],17.52
net184,17.52
_0618_,17.48
fifo1.mem\[12\]\[0\],17.48
_1212_,17.44
_1502_,17.42
_2053_,17.4
fifo2.mem\[10\]\[0\],17.345
_0649_,17.34
_1867_,17.34
_1961_,17.34
regis.packet_parity\[7\],17.3
net142,17.26
_1850_,17.22
fifo2.mem\[6\]\[4\],17.22
fifo2.mem\[8\]\[0\],17.22
fifo1.mem\[4\]\[4\],17.18
fifo3.mem\[15\]\[2\],17.14
_0673_,17.1
fifo1.mem\[12\]\[5\],17.1
fifo1.mem\[9\]\[1\],17.1
fifo1.mem\[5\]\[1\],17.04
fifo2.mem\[0\]\[7\],17.02
_1693_,17
_0669_,16.98
fifo2.mem\[9\]\[8\],16.98
_0902_,16.94
fifo2.mem\[14\]\[4\],16.94
fifo3.mem\[5\]\[1\],16.92
syn.count0\[4\],16.9
fifo1.mem\[7\]\[3\],16.86
fifo3.mem\[13\]\[1\],16.86
fifo2.mem\[15\]\[8\],16.84
